variant,entry_time_ny,resolved_time_ny,symbol,condition,level_name,direction,entry,sl,r_size,outcome,hit_crt_50,hit_1r,hit_2r,hit_3r,hit_stdv_2,hit_stdv_2_5,hit_stdv_4,stdv_2_px,stdv_2_5_px,stdv_4_px,mfe_r,mae_r,net_r,risk_usd,pnl_usd,balance_after
raw,2026-07-09 10:05:00-04:00,2026-07-09T10:20:27-04:00,XAUUSD,pdh_pdl_sweep,PDH,bearish_sweep,4143.7001953125,4147.39990234375,3.69970703125,all_targets,,True,True,True,,,,4082.30078125,4071.450927734375,4038.9013671875,3.41,-0.0,3.0,46.08,138.24,4745.92
raw,2026-07-09 09:55:00-04:00,2026-07-09T10:26:32-04:00,US500,pdh_pdl_sweep,PDH,bearish_sweep,7561.0,7566.5,5.5,all_targets,,True,True,True,,,,7457.75,7439.625,7385.25,5.05,-0.64,3.0,46.08,138.24,4884.16
m5_cisd,2026-07-09 10:05:00-04:00,2026-07-09T10:26:32-04:00,US500,pdh_pdl_sweep,PDH,bearish_sweep,7557.75,7564.5,6.75,all_targets,,True,True,True,,,,7457.75,7439.625,7385.25,3.63,-0.0,3.0,48.46,145.38,4890.98
m5_managed,2026-07-09 10:10:00-04:00,2026-07-09T10:38:41-04:00,US500,crt_range_sweep,CRT_9AM_CRT_1AM_London_High,bearish_sweep,7551.75,7566.5,14.75,be_after_partial,True,True,False,False,False,False,False,7466.75,7450.875,7403.25,1.51,-0.25,0.5,50.49,25.25,4973.63
m5_cisd,2026-07-08 10:30:00-04:00,2026-07-08T12:40:50-04:00,GBPUSD,crt_range_sweep,CRT_9AM_CRT_1AM_London_High,bearish_sweep,1.33646,1.33779,0.0013300000000000534,stop,False,False,False,False,,,,,,,0.59,-1.21,-1.0,50.0,-50.0,4950.0
raw,2026-07-09 02:10:00-04:00,2026-07-09T02:15:31-04:00,XAUUSD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_High,bearish_sweep,4089.24,4091.09,1.8500000000003638,stop,False,False,False,False,,,,3994.579999999999,3977.069999999999,3924.539999999998,-0.0,-2.27,-1.0,50.0,-50.0,4950.0
raw,2026-07-09 02:30:00-04:00,2026-07-09T03:04:33-04:00,USDCAD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_Low,bullish_sweep,1.41548,1.41529,0.0001900000000001345,all_targets,True,True,True,True,,,,1.41979,1.4205400000000001,1.4227900000000002,5.89,0.0,3.0,49.5,148.5,5098.5
m5_cisd,2026-07-09 02:40:00-04:00,2026-07-09T03:28:43-04:00,USDCAD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_Low,bullish_sweep,1.4159,1.41548,0.0004199999999998649,all_targets,True,True,True,True,,,,1.41979,1.4205400000000001,1.4227900000000002,3.14,-0.19,3.0,49.5,148.5,5098.5
m5_cisd,2026-07-09 03:55:00-04:00,2026-07-09T06:25:12-04:00,XAUUSD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_High,bearish_sweep,4106.07,4111.14,5.0700000000006185,stop,False,False,False,False,,,,3994.579999999999,3977.069999999999,3924.539999999998,0.17,-1.36,-1.0,49.5,-49.5,5049.0
m5_managed,2026-07-09 03:55:00-04:00,2026-07-09T06:25:13-04:00,XAUUSD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_High,bearish_sweep,4106.07,4111.14,5.0700000000006185,stop,False,False,False,False,False,False,False,3994.579999999999,3977.069999999999,3924.539999999998,0.17,-1.36,-1.0,50.0,-50.0,4950.0
