variant,source,entry_time_ny,resolved_time_ny,symbol,condition,level_name,direction,entry,sl,r_size,outcome,hit_50,hit_liquidity,t50_px,t100_px,stdv_2_px,stdv_2_5_px,stdv_4_px,mfe_r,mae_r,net_r,risk_usd,pnl_usd,balance_after,signal_id,final_verdict,rejected_by,filter_pd,filter_qt,filter_qt_phase,filter_mo_bias,filter_hrl,run_id,is_backtest
m5_cisd,mt5,2026-06-17 03:05:00-04:00,,EURUSD,opening_gap_sweep,NDOG_Low,bullish_sweep,1.16123,1.16067,0.0005599999999998939,stop,,False,,1.1623499999999998,1.16363,1.16417,1.1657899999999999,0.48,-1.39,-1.143,,,,a602ef18c55c,rejected,pd,fail,pass,Manipulation,fail,pass,8197109777,true
m5_cisd,mt5,2026-06-17 07:50:00-04:00,,EURUSD,crt_range_sweep,CRT_5AM_CRT_1AM_London_Low,bullish_sweep,1.15904,1.15849,0.0005500000000000504,stop,False,False,1.160655,1.16151,1.1624700000000003,1.1629700000000005,1.1644700000000006,2.29,-1.71,-1.145,,,,018471bab846,rejected,pd,fail,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-17 13:55:00-04:00,,EURUSD,crt_range_sweep,CRT_9AM_CRT_1AM_London_Low,bullish_sweep,1.15955,1.1581,0.0014500000000001734,stop,False,False,1.160655,1.16151,1.1618599999999994,1.1622499999999993,1.163419999999999,0.0,-3.41,-1.055,,,,1b43a0367d3c,rejected,pd,fail,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-19 03:40:00-04:00,,EURUSD,ipda_sweep,IPDA60_Low,bullish_sweep,1.14466,1.14416,0.0004999999999999449,expired,False,False,1.16459,1.1849,1.14593,1.1464349999999999,1.1479499999999998,6.86,-0.38,3.52,,,,6bc29291dcfe,rejected,hrl,pass,pass,Manipulation,pass,fail,8197109777,true
m5_cisd,mt5,2026-06-19 04:40:00-04:00,,EURUSD,opening_gap_sweep,NDOG_Low,bullish_sweep,1.14641,1.14572,0.0006899999999998574,stop,,False,,1.1477899999999996,1.1454600000000001,1.1456500000000003,1.1462200000000002,0.12,-1.25,-1.116,50.95,-56.86,5038.2,099291114b46,accepted,,pass,pass,Manipulation,pass,pass,8197109777,true
m5_managed,mt5,2026-06-19 04:40:00-04:00,,EURUSD,opening_gap_sweep,NDOG_Low,bullish_sweep,1.14641,1.14572,0.0006899999999998574,stop,,False,,1.1477899999999996,1.1454600000000001,1.1456500000000003,1.1462200000000002,0.12,-1.25,-1.116,50.95,-56.86,5038.2,099291114b46,accepted,,pass,pass,Manipulation,pass,pass,8197109777,true
m5_ote,mt5,2026-06-19 09:20:00-04:00,,EURUSD,opening_gap_sweep,NDOG_Low,bullish_sweep,1.1460544000000001,1.14572,0.000334400000000068,stop,,False,,1.1467232000000003,1.1454600000000001,1.1456500000000003,1.1462200000000002,1.39,-1.21,-1.239,50.0,-61.96,4938.04,099291114b46,accepted,,pass,pass,Manipulation,pass,pass,8197109777,true
m5_sb,mt5,2026-06-19 04:25:00-04:00,,EURUSD,opening_gap_sweep,NDOG_Low,bullish_sweep,,,,no_ote_zone,,,,,,,,,,,,,,099291114b46,accepted,,pass,pass,Manipulation,pass,pass,8197109777,true
m1_ote,mt5,2026-06-19 09:37:00-04:00,,EURUSD,opening_gap_sweep,NDOG_Low,bullish_sweep,1.1458304,1.14561,0.00022039999999989845,liquidity,,True,,1.1462711999999997,1.1454600000000001,1.1456500000000003,1.1462200000000002,2.4,-0.73,1.637,50.0,81.85,5081.85,099291114b46,accepted,,pass,pass,Manipulation,pass,pass,8197109777,true
m5_cisd,mt5,2026-06-19 06:30:00-04:00,,EURUSD,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_Low,bullish_sweep,1.14578,1.14546,0.000320000000000098,stop,False,False,1.1461450000000002,1.14674,1.14899,1.1496149999999998,1.15149,0.31,-1.06,-1.25,,,,4c3cf1b907d4,rejected,hrl,pass,pass,Distribution,pass,fail,8197109777,true
